date,cases,week_mean_cases,tests,week_mean_tests,R_eff,sigma_cases,sigma_tests
2020-07-15,130,112.85714285714286,8165,13924.57142857143,1.078267226116,23.901157003845004,14687.407053635563
2020-07-16,141,117.42857142857143,10052,14055.42857142857,1.06341838273964,29.212801219705735,14639.511787889482
2020-07-17,124,114.0,8068,14240.857142857143,1.05845371482023,27.609522166921224,14595.783906208488
2020-07-18,81,118.14285714285714,8677,14204.0,1.04429256658552,30.791597051461814,14611.642148838519
2020-07-19,87,122.57142857142857,5579,13971.42857142857,1.04194601981211,27.14436086060256,14710.386387633376
2020-07-20,90,124.57142857142857,49767,14175.57142857143,1.02619431820591,24.870275676897876,14602.02057306887
2020-07-21,137,125.42857142857143,7164,7819.0,1.03287900999141,23.741808469191117,1782.159043728381
2020-07-22,162,127.71428571428571,9081,7943.714285714285,1.09290695143679,25.45424065547701,1762.395262483558
2020-07-23,117,119.14285714285714,11350,7988.714285714285,1.08383152242697,22.38257339621016,1794.587076602917
2020-07-24,153,129.57142857142858,7810,7715.0,1.10454291402624,33.2988937733765,1352.7734474035185
2020-07-25,112,125.28571428571429,7049,8088.571428571428,1.11830280953066,31.90931026569915,1654.7834435049074
2020-07-26,101,118.14285714285714,7008,8132.714285714285,1.08628145152775,38.91172636853307,1630.405007903226
2020-07-27,96,113.71428571428571,5271,8202.285714285714,1.03804707620379,42.233075344583,1590.838028415546
2020-07-28,153,113.28571428571429,8037,8181.142857142857,1.03161854080232,42.425444810242574,1630.1531416729297
2020-07-29,102,103.28571428571429,9396,7938.857142857143,0.994512643166154,40.07034630573118,1754.839303067901
2020-07-30,190,111.42857142857143,9434,7614.285714285715,1.03172893936169,44.52561748302765,1663.023383933673
2020-07-31,123,101.28571428571429,10425,8177.0,1.05405493286732,31.716216157463343,2591.040221334171
2020-08-01,62,96.57142857142857,7358,8120.571428571428,1.026917391208,30.570093428789157,2545.3667070717706
2020-08-02,70,102.57142857142857,7495,8202.857142857143,1.00454282919673,27.12330122584187,2528.63991836218
2020-08-03,93,102.85714285714286,5123,8079.142857142857,0.970090326386585,26.78714281904965,2580.8904016455485
2020-08-04,83,112.14285714285714,6341,7903.0,0.921614808856003,32.43203254028149,2808.6580425534185
2020-08-05,159,127.0,7124,8247.142857142857,0.962266554713827,38.862394603082734,2743.002652390334
2020-08-06,119,131.42857142857142,13373,8445.142857142857,0.955697693090769,43.71942080016661,2704.5374797905533
2020-08-07,90,150.28571428571428,10030,7747.571428571428,0.954742345552134,59.80137190426866,1832.7830404795293
2020-08-08,104,187.28571428571428,7934,8018.142857142857,0.969801116110351,85.6099364822203,2243.5389409573077
2020-08-09,72,194.71428571428572,6629,7730.714285714285,0.964286264677746,80.14222052204495,2361.679106924061
2020-08-10,158,208.57142857142858,3890,8088.857142857143,0.978613320363318,64.6061853360301,2357.5376639058586
2020-08-11,187,223.0,8750,8329.857142857143,1.04550679003502,62.95803591055145,1970.4366759369739
2020-08-12,190,232.28571428571428,8510,9054.285714285714,1.04607924941325,61.74536254584928,2764.0781834242016
2020-08-13,251,254.71428571428572,8490,9450.42857142857,1.12314644188554,70.24185623506072,2854.903393769236
2020-08-14,349,266.14285714285717,11924,9989.857142857143,1.28958786303471,75.0512749895098,2976.610029094528
2020-08-15,156,259.42857142857144,5922,10282.42857142857,1.27888931388926,69.21365914503363,3241.22590816424
2020-08-16,169,269.85714285714283,9136,11114.42857142857,1.23236288786141,57.32221850813067,2720.870493959233
2020-08-17,259,273.2857142857143,5577,10928.142857142857,1.2452648965091,51.62146365809557,2889.369552023982
2020-08-18,252,271.0,13821,11019.857142857143,1.21040323998604,52.54929658357542,2723.485446921249
2020-08-19,347,278.0,11283,10314.42857142857,1.24885540317359,52.81504114765576,2539.9089329649405
2020-08-20,331,274.0,12266,10004.0,1.28144932948262,48.30557495184765,2535.3477642552875
2020-08-21,302,259.0,13972,10258.0,1.2767937327665,44.42328861564136,2822.087930188265
2020-08-22,229,272.14285714285717,11746,10362.142857142857,1.24640024513767,64.34378329706446,2966.9559883379957
